,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
241,242,Howard,MEAC,4-9,-5.41,105.2,110.6,69.8,-.061,+1.85,104.2,102.4,+1.85
242,243,Saint Peter's,MAAC,5-5,-5.71,94.8,100.5,63.3,+.001,-1.13,104.9,106.0,-0.76
243,244,UC Riverside,BW,5-7,-5.73,102.0,107.7,66.5,-.030,+2.72,105.5,102.8,+2.72
244,245,Southern,SWAC,4-7,-5.87,99.5,105.3,70.6,+.022,+13.88,110.8,96.9,+13.88
245,246,New Mexico St.,CUSA,5-9,-5.91,101.6,107.5,68.0,-.101,+8.26,107.5,99.3,+8.26
246,247,Miami OH,MAC,5-6,-5.98,102.8,108.7,69.5,+.016,+1.55,104.2,102.7,+1.55
247,248,Northern Arizona,BSky,6-6,-6.01,98.1,104.1,70.1,+.172,+2.75,105.4,102.7,+2.75
248,249,Northern Colorado,BSky,5-6,-6.08,102.1,108.2,72.8,+.060,+0.76,104.3,103.5,+0.76
249,250,Florida Gulf Coast,ASun,5-9,-6.09,102.9,109.0,64.4,-.047,+3.57,105.9,102.3,+3.57
250,251,Tennessee St.,OVC,7-6,-6.21,101.2,107.4,69.7,-.016,+1.53,105.1,103.5,+1.53
251,252,North Dakota,Sum,8-5,-6.34,101.2,107.5,68.5,+.087,-3.47,103.2,106.6,-3.47
252,253,Ball St.,MAC,8-4,-6.47,102.1,108.6,66.6,+.133,-5.88,102.8,108.7,-5.88
253,254,Portland,WCC,6-9,-6.52,101.6,108.2,70.4,+.006,+0.89,104.8,103.9,+0.89
254,255,Jackson St.,SWAC,4-8,-6.56,101.2,107.7,70.6,+.130,+7.42,108.1,100.7,+7.42
255,256,Albany,AE,7-6,-6.56,100.9,107.4,74.4,+.027,-3.62,100.5,104.1,-3.62
256,257,Tennessee Martin,OVC,7-6,-6.61,104.5,111.1,75.5,+.006,+2.57,105.0,102.4,+2.57
257,258,Utah Tech,WAC,5-7,-6.66,99.2,105.9,70.0,+.045,+1.70,104.2,102.5,+2.41
258,259,Stony Brook,CAA,6-6,-6.81,102.0,108.8,69.4,+.080,+0.27,103.6,103.3,+0.27
259,260,Mercer,SC,6-6,-6.93,99.7,106.6,67.1,+.112,-2.89,103.9,106.8,-2.89
260,261,FIU,CUSA,5-9,-6.93,99.5,106.4,71.7,-.030,-2.19,103.2,105.4,-2.19
261,262,Nicholls St.,Slnd,4-8,-7.00,99.9,106.9,68.4,+.018,+9.61,110.1,100.5,+9.61
262,263,Eastern Kentucky,ASun,4-8,-7.18,102.0,109.2,70.7,-.073,+0.04,105.1,105.1,+0.04
263,264,Brown,Ivy,4-9,-7.18,97.2,104.4,69.5,-.021,-1.00,102.7,103.7,-1.00
264,265,Bellarmine,ASun,4-10,-7.41,99.6,107.0,67.0,-.125,+8.12,108.5,100.4,+8.12
265,266,Little Rock,OVC,6-7,-7.43,104.7,112.1,72.5,-.006,-6.22,100.9,107.1,-6.22
266,267,Middle Tennessee,CUSA,5-8,-7.47,95.8,103.3,63.3,+.004,-1.85,103.8,105.7,-1.85
267,268,SIU Edwardsville,OVC,7-6,-7.65,103.3,111.0,64.7,+.063,-0.03,105.5,105.5,-0.03
268,269,Central Connecticut,NEC,5-7,-7.67,100.0,107.7,68.9,-.061,-1.92,102.5,104.5,-1.92
269,270,North Carolina Central,MEAC,7-7,-7.78,100.3,108.1,68.3,+.035,+1.39,103.8,102.4,+1.39
270,271,Jacksonville,ASun,8-5,-8.06,101.4,109.4,69.7,+.189,-2.65,102.7,105.3,-2.65
271,272,Montana St.,BSky,5-6,-8.16,97.6,105.8,66.5,+.088,-0.73,104.5,105.3,-0.73
272,273,Queens,ASun,6-8,-8.24,102.3,110.5,73.8,+.101,+2.24,105.5,103.3,+2.24
273,274,Rider,MAAC,3-9,-8.36,99.4,107.7,68.9,-.074,+2.06,105.4,103.3,+6.06
274,275,Binghamton,AE,7-5,-8.69,101.4,110.1,70.7,+.128,-4.65,100.7,105.3,-4.65
275,276,Boston University,Pat,4-8,-8.88,96.0,104.9,67.4,-.101,-1.80,102.0,103.8,-1.80
276,277,Texas A&M Corpus Chris,Slnd,6-6,-8.90,97.3,106.2,70.5,+.062,+0.44,103.3,102.8,+0.44
277,278,Texas Southern,SWAC,1-9,-8.95,97.4,106.4,68.3,-.012,+11.44,110.7,99.2,+11.44
278,279,Southeastern Louisiana,Slnd,4-8,-9.07,98.0,107.1,66.0,-.028,+5.13,106.9,101.8,+5.13
279,280,Prairie View A&M,SWAC,5-6,-9.37,94.5,103.9,71.8,+.074,+7.11,108.8,101.6,+7.11
280,281,Lehigh,Pat,2-8,-9.40,98.3,107.7,71.5,-.067,+4.92,107.6,102.7,+4.92
281,282,Idaho St.,BSky,4-7,-9.41,100.2,109.6,66.1,-.077,+0.44,103.6,103.2,+0.44
282,283,Navy,Pat,3-7,-9.42,94.8,104.2,67.1,-.213,-4.68,99.8,104.5,-4.68
283,284,Lamar,Slnd,5-7,-9.45,102.4,111.8,72.9,-.089,-5.82,100.0,105.8,-5.82
284,285,Cal St. Bakersfield,BW,5-6,-9.51,100.5,110.0,64.1,+.031,+0.20,105.9,105.7,+0.20
285,286,Nebraska Omaha,Sum,6-7,-9.74,100.9,110.6,68.7,-.037,+0.10,103.9,103.8,+0.10
286,287,USC Upstate,BSth,4-8,-9.83,98.6,108.4,67.5,+.021,+2.16,106.8,104.6,+2.16
287,288,UMKC,Sum,5-8,-9.84,99.2,109.0,68.0,-.101,+2.47,104.8,102.3,+2.47
288,289,Robert Morris,Horz,4-9,-9.89,98.5,108.4,71.0,-.026,-0.36,105.2,105.5,-0.36
289,290,New Orleans,Slnd,5-7,-9.93,99.4,109.3,73.7,-.067,+7.77,107.7,99.9,+7.77
290,291,Western Illinois,OVC,7-6,-10.07,95.9,106.0,67.3,+.029,-0.52,104.1,104.6,-0.52
291,292,American,Pat,5-7,-10.21,103.8,114.1,64.7,-.011,-3.87,102.0,105.8,-3.87
292,293,Milwaukee,Horz,5-7,-10.35,104.4,114.7,68.7,+.120,-1.13,103.4,104.6,-0.49
293,294,Sacred Heart,NEC,5-9,-10.68,97.4,108.1,70.9,-.044,-4.40,101.3,105.7,-4.40
294,295,Sacramento St.,BSky,3-8,-10.72,98.8,109.5,69.2,-.071,+2.67,105.5,102.8,+2.67
295,296,Green Bay,Horz,6-7,-10.73,97.8,108.5,65.3,+.030,-0.22,103.4,103.6,+0.86
296,297,North Florida,ASun,7-7,-10.75,101.2,112.0,69.5,+.036,-3.97,102.7,106.7,-3.97
297,298,Elon,CAA,6-6,-10.87,102.7,113.6,70.7,+.056,-1.34,104.5,105.9,-1.34
298,299,South Dakota,Sum,7-6,-10.92,102.5,113.4,71.7,+.045,-5.06,100.2,105.3,-5.06
299,300,Eastern Michigan,MAC,6-5,-11.19,100.5,111.7,66.0,+.176,-2.70,104.1,106.8,-2.70
300,301,Texas A&M Commerce,Slnd,6-6,-11.33,96.8,108.2,67.3,+.137,+8.50,109.8,101.3,+8.50
301,302,UTSA,Amer,5-7,-11.50,101.1,112.6,71.3,+.050,-7.26,99.6,106.8,-7.26
302,303,Coastal Carolina,SB,3-8,-11.70,102.6,114.3,69.4,+.017,-5.78,102.6,108.3,-5.78
303,304,Louisiana Monroe,SB,4-6,-11.72,97.1,108.8,67.8,-.022,+1.26,104.3,103.1,+1.26
304,305,Presbyterian,BSth,7-7,-11.73,97.4,109.1,70.0,+.049,-6.95,101.3,108.2,-6.95
305,306,Central Michigan,MAC,5-6,-12.06,98.2,110.3,68.7,+.112,+1.15,104.0,102.9,+1.15
306,307,Western Michigan,MAC,2-9,-12.17,98.8,111.0,69.2,+.021,+0.21,103.9,103.7,+0.21
307,308,Alabama St.,SWAC,4-7,-12.28,95.0,107.2,69.6,+.038,+11.04,110.5,99.5,+11.04
308,309,Delaware St.,MEAC,6-9,-12.35,93.7,106.0,70.9,+.022,-2.05,102.8,104.9,-2.05
309,310,Alcorn St.,SWAC,1-12,-12.36,103.5,115.8,71.4,-.037,+12.94,110.9,98.0,+12.94
310,311,William & Mary,CAA,5-7,-12.36,103.2,115.6,67.8,-.055,-4.93,102.3,107.3,-4.93
311,312,Chicago St.,ind,7-10,-12.41,95.0,107.4,67.2,+.068,-6.19,100.7,106.9,-6.19
312,313,Campbell,CAA,6-6,-12.43,95.3,107.7,63.8,+.009,-5.42,101.7,107.1,-5.42
313,314,Bucknell,Pat,3-9,-12.55,97.7,110.2,65.9,+.024,+2.71,106.0,103.3,+2.71
314,315,Idaho,BSky,6-6,-12.56,99.1,111.7,66.8,+.009,-2.46,102.6,105.0,-2.46
315,316,Hampton,CAA,4-8,-12.92,96.3,109.2,73.3,-.079,-1.48,105.3,106.8,-1.48
316,317,UT Rio Grande Valley,WAC,3-9,-13.07,96.3,109.4,73.7,+.017,+1.68,104.2,102.6,+0.44
317,318,Incarnate Word,Slnd,4-7,-13.25,99.6,112.8,71.7,-.004,-2.16,102.0,104.2,-2.16
318,319,Niagara,MAAC,3-8,-13.37,99.8,113.2,68.6,-.063,-5.18,100.0,105.2,-3.54
319,320,Valparaiso,MVC,4-8,-13.48,93.6,107.1,67.5,-.001,-3.53,102.3,105.8,-6.51
320,321,Wagner,NEC,5-6,-13.67,93.0,106.6,63.2,+.079,-2.19,101.3,103.5,-2.19
321,322,Tennessee Tech,OVC,5-8,-13.69,96.7,110.3,68.0,-.008,+0.46,104.8,104.3,+0.46
322,323,Manhattan,MAAC,4-6,-13.72,93.6,107.3,69.6,+.127,+2.35,104.4,102.0,+4.37
323,324,Loyola MD,Pat,2-10,-13.86,93.4,107.3,67.0,+.023,-2.04,103.4,105.5,-2.04
324,325,Dartmouth,Ivy,4-8,-13.88,92.3,106.2,66.4,-.041,-2.45,102.9,105.3,-2.45
325,326,Cal Poly,BW,4-8,-14.03,94.1,108.1,66.2,+.053,-1.21,104.4,105.6,-1.21
326,327,UMBC,AE,5-9,-14.05,101.0,115.0,76.8,+.039,-6.67,99.5,106.1,-6.67
327,328,Georgia Southern,SB,0-12,-14.08,97.2,111.3,69.1,-.046,+1.31,106.1,104.7,+1.31
328,329,Buffalo,MAC,1-10,-14.18,95.6,109.8,70.2,-.037,+3.19,107.0,103.9,+3.19
329,330,Grambling St.,SWAC,2-10,-14.18,94.7,108.9,65.8,-.082,+11.77,109.9,98.2,+11.77
330,331,Eastern Illinois,OVC,6-7,-14.26,94.1,108.3,66.1,-.021,+2.67,103.8,101.2,+2.67
331,332,Florida A&M,SWAC,2-8,-14.50,92.0,106.5,67.8,+.038,+15.91,112.7,96.8,+15.91
332,333,Fairleigh Dickinson,NEC,6-7,-14.60,101.6,116.2,73.6,+.106,-6.20,100.1,106.3,-6.20
333,334,Army,Pat,3-9,-14.82,90.2,105.0,64.6,-.124,-7.47,100.5,107.9,-7.47
334,335,South Carolina St.,MEAC,4-10,-15.91,97.1,113.1,71.5,-.014,+1.70,104.9,103.2,+1.70
335,336,Bethune Cookman,SWAC,5-6,-15.94,92.4,108.3,71.5,+.027,-6.60,100.6,107.2,-6.60
336,337,Lindenwood,OVC,6-7,-16.17,92.6,108.8,70.8,+.038,-2.39,103.1,105.4,-2.39
337,338,Charleston Southern,BSth,4-8,-16.34,96.6,112.9,66.2,-.001,+0.17,104.7,104.5,+0.17
338,339,Detroit Mercy,Horz,0-13,-16.40,95.1,111.5,68.5,-.059,+4.07,108.0,103.9,+4.89
339,340,Southern Indiana,OVC,3-10,-16.42,90.4,106.8,70.2,-.097,+4.71,107.4,102.7,+4.71
340,341,Le Moyne,NEC,5-8,-16.76,96.8,113.5,68.9,-.079,-0.39,102.8,103.2,-0.39
341,342,Central Arkansas,ASun,3-10,-17.13,96.3,113.5,69.2,-.058,-6.12,100.9,107.0,-6.12
342,343,Morgan St.,MEAC,4-10,-17.25,96.6,113.8,72.7,-.084,+2.85,106.0,103.1,+2.85
343,344,Lafayette,Pat,1-11,-17.94,90.1,108.0,68.3,-.018,+0.83,105.5,104.6,+0.83
344,345,VMI,SC,3-10,-17.98,92.2,110.2,72.1,-.024,-1.28,103.2,104.5,-1.28
345,346,Pacific,WCC,5-9,-17.98,92.2,110.2,70.4,+.093,-6.52,100.3,106.8,-6.52
346,347,NJIT,AE,3-8,-18.01,97.0,115.0,69.8,+.031,-2.76,102.6,105.4,-2.76
347,348,Arkansas Pine Bluff,SWAC,5-8,-18.27,102.4,120.7,74.5,+.072,+9.77,109.8,100.0,+9.77
348,349,LIU,NEC,1-10,-18.59,91.6,110.2,72.7,-.036,+3.00,104.7,101.7,+3.00
349,350,Saint Francis,NEC,4-8,-18.61,91.9,110.5,66.9,+.041,+0.43,104.3,103.8,+0.43
350,351,Southeast Missouri St.,OVC,4-8,-19.01,92.4,111.4,71.4,+.073,+1.62,105.1,103.5,+1.62
351,352,North Carolina A&T,CAA,2-10,-19.14,98.2,117.3,71.2,+.024,-0.22,103.6,103.8,-0.22
352,353,Holy Cross,Pat,2-10,-19.38,98.1,117.5,65.4,-.038,-3.70,102.6,106.3,-3.70
353,354,Alabama A&M,SWAC,1-11,-19.53,94.1,113.6,74.0,+.065,+2.36,106.4,104.1,+2.36
354,355,Northwestern St.,Slnd,2-10,-20.19,97.3,117.5,67.9,-.124,+0.62,105.0,104.3,+0.62
355,356,Maryland Eastern Shore,MEAC,2-8,-20.24,90.7,111.0,70.0,+.068,+4.99,106.2,101.2,+4.99
356,357,Houston Christian,Slnd,2-9,-20.49,91.9,112.4,74.6,-.046,+12.66,111.3,98.7,+12.66
357,358,Stonehill,NEC,2-12,-20.88,92.8,113.7,70.4,-.029,+2.48,105.5,103.0,+2.48
358,359,IUPUI,Horz,4-9,-21.73,93.3,115.0,68.0,-.011,-3.48,103.5,107.0,-4.41
359,360,Siena,MAAC,2-10,-22.04,89.0,111.1,67.8,+.043,-4.97,102.6,107.5,-4.72
360,361,Coppin St.,MEAC,1-12,-23.84,84.6,108.4,67.5,-.044,-1.02,103.7,104.7,-1.02
361,362,Mississippi Valley St.,SWAC,0-12,-30.91,84.8,115.7,64.9,-.003,+14.84,111.6,96.8,+14.84
