,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
55,56,Northwestern,B10,9-2,+13.23,110.6,97.3,64.2,+.010,-2.83,103.0,105.8,-5.32
56,57,Iowa,B10,7-5,+13.11,116.2,103.0,73.7,-.058,+2.68,106.0,103.3,-1.85
57,58,Wake Forest,ACC,8-3,+13.02,113.7,100.6,68.4,-.114,-3.58,102.1,105.6,-3.58
58,59,Indiana St.,MVC,11-1,+13.02,113.5,100.4,73.4,+.096,-3.19,103.8,107.0,-5.36
59,60,Washington,P12,8-3,+12.97,112.2,99.2,71.9,-.006,+4.35,106.4,102.1,+4.35
60,61,Grand Canyon,WAC,10-1,+12.54,112.3,99.8,69.9,+.058,-2.59,102.3,104.9,-1.10
61,62,Utah St.,MWC,12-1,+12.49,109.8,97.3,70.0,+.079,+1.38,104.1,102.7,+1.38
62,63,Butler,BE,10-3,+12.28,112.7,100.5,69.2,+.023,+1.10,104.6,103.5,-0.18
63,64,Miami FL,ACC,9-2,+12.25,115.0,102.8,70.3,+.117,-2.75,102.0,104.7,-1.74
64,65,Washington St.,P12,9-2,+12.25,109.6,97.4,67.9,-.002,-5.50,100.7,106.2,-5.50
65,66,Arkansas,SEC,8-4,+12.20,110.8,98.6,70.7,+.026,+2.95,106.7,103.7,+2.95
66,67,South Carolina,SEC,11-1,+11.95,111.6,99.6,65.3,+.062,-4.17,102.3,106.4,-4.17
67,68,James Madison,SB,12-0,+11.88,113.2,101.3,73.4,+.091,-4.44,101.7,106.1,-4.44
68,69,Kansas St.,B12,9-3,+11.74,107.5,95.8,69.0,+.098,+2.69,106.1,103.4,+2.69
69,70,Maryland,B10,8-4,+11.33,105.9,94.5,67.4,-.022,-2.41,103.9,106.3,-4.62
70,71,UC Irvine,BW,7-5,+11.13,107.0,95.9,69.6,-.108,+6.23,108.5,102.3,+6.23
71,72,Boise St.,MWC,8-4,+11.07,108.1,97.1,70.1,+.006,+7.65,107.2,99.5,+7.65
72,73,Drake,MVC,11-2,+10.94,110.3,99.4,68.8,+.054,-3.20,102.8,106.0,-3.10
73,74,N.C. State,ACC,9-3,+10.88,110.4,99.5,70.1,+.031,-3.39,103.1,106.5,-5.32
74,75,St. Bonaventure,A10,8-3,+10.31,109.9,99.6,66.4,-.004,-5.09,101.6,106.7,-5.09
75,76,Rutgers,B10,7-4,+10.06,103.2,93.2,67.9,-.002,+0.83,104.3,103.5,-1.31
76,77,Saint Joseph's,A10,9-3,+9.93,108.0,98.0,68.8,-.041,-4.18,102.6,106.8,-4.18
77,78,UCF,B12,8-3,+9.91,104.9,95.0,72.0,-.037,-4.65,102.0,106.6,-4.65
78,79,Seton Hall,BE,8-5,+9.87,111.1,101.2,67.1,+.005,+2.69,106.1,103.5,-0.99
79,80,Mississippi,SEC,12-0,+9.59,110.7,101.1,67.0,+.112,-3.13,102.1,105.2,-3.13
80,81,North Texas,Amer,6-5,+9.56,106.3,96.7,62.4,-.171,+1.00,103.8,102.8,+1.00
81,82,Georgia,SEC,9-3,+9.29,106.8,97.5,70.1,+.045,+0.74,105.1,104.4,+0.74
82,83,Indiana,B10,9-3,+9.08,108.5,99.4,70.4,+.184,+3.05,106.4,103.3,+0.70
83,84,UCLA,P12,5-6,+9.07,105.4,96.3,66.2,-.198,+0.15,102.9,102.7,+0.15
84,85,Minnesota,B10,9-3,+8.97,109.6,100.6,69.0,-.045,-8.86,100.7,109.5,-13.03
85,86,Syracuse,ACC,9-3,+8.88,107.0,98.1,72.3,+.130,+3.91,106.5,102.6,+2.19
86,87,Boston College,ACC,9-3,+8.53,110.1,101.6,70.1,-.017,-1.32,104.2,105.6,-2.18
87,88,VCU,A10,7-5,+8.43,107.2,98.8,65.4,-.116,-0.22,104.5,104.7,-0.22
88,89,Louisiana Tech,CUSA,9-4,+8.20,104.8,96.6,67.6,-.069,+1.72,105.9,104.2,+1.72
89,90,Duquesne,A10,8-3,+8.17,110.9,102.7,68.2,+.022,+0.59,104.3,103.8,+0.59
90,91,McNeese St.,Slnd,10-2,+8.01,111.4,103.4,64.4,-.026,+1.63,105.3,103.7,+1.63
91,92,Missouri,SEC,7-5,+7.90,110.3,102.4,68.2,-.005,+1.65,105.5,103.9,+1.65
92,93,Oklahoma St.,B12,6-5,+7.74,105.9,98.2,68.5,-.160,-3.38,102.3,105.7,-3.38
93,94,Stanford,P12,5-5,+7.46,108.4,100.9,70.3,-.081,-0.63,104.7,105.4,-0.63
94,95,Appalachian St.,SB,9-3,+7.45,107.3,99.8,68.8,+.001,-1.49,103.7,105.2,-1.49
95,96,UNLV,MWC,5-5,+7.45,111.0,103.5,66.6,-.073,+2.90,105.8,103.0,+2.90
96,97,Florida St.,ACC,6-5,+7.15,105.2,98.1,71.6,-.020,+4.39,107.2,102.8,+2.18
97,98,Samford,SC,11-2,+6.90,109.9,103.0,75.9,+.163,-8.07,100.0,108.1,-8.07
98,99,Richmond,A10,7-5,+6.85,107.7,100.8,68.2,-.099,-1.32,104.1,105.4,-1.32
99,100,George Mason,A10,10-2,+6.55,107.0,100.4,65.3,+.101,-2.21,104.1,106.3,-2.21
100,101,Massachusetts,A10,8-3,+6.54,109.8,103.2,72.7,-.086,-4.22,101.5,105.7,-4.22
101,102,Southern Illinois,MVC,8-4,+6.45,108.9,102.5,65.2,-.065,-4.26,102.1,106.3,-6.38
102,103,Missouri St.,MVC,9-4,+5.84,105.0,99.1,70.3,-.012,-1.58,102.5,104.1,-2.86
103,104,LSU,SEC,7-5,+5.68,106.2,100.5,70.3,-.023,-2.14,103.0,105.2,-2.14
104,105,Northern Iowa,MVC,6-7,+5.68,110.2,104.5,67.5,-.121,+3.85,106.9,103.1,+4.64
105,106,Hofstra,CAA,7-5,+5.61,108.6,103.0,67.1,-.014,+3.17,107.9,104.7,+3.17
106,107,Akron,MAC,8-3,+5.23,107.3,102.1,67.5,+.078,+1.64,105.0,103.4,+1.64
107,108,Tulane,Amer,8-3,+5.17,111.8,106.6,75.6,+.050,-4.89,101.0,105.9,-4.89
108,109,Kent St.,MAC,7-4,+5.12,108.2,103.1,69.9,-.067,+0.70,104.2,103.5,+0.70
109,110,Georgia Tech,ACC,8-4,+5.11,105.5,100.4,68.3,+.148,+4.84,106.8,101.9,+3.37
110,111,Penn St.,B10,6-6,+5.00,107.4,102.4,71.5,-.123,-1.55,103.2,104.7,-5.73
111,112,Yale,Ivy,7-6,+4.81,108.3,103.5,66.4,-.006,+3.89,105.9,102.0,+3.89
112,113,UNC Wilmington,CAA,9-2,+4.80,108.5,103.7,67.9,+.197,+3.04,106.9,103.8,+3.04
113,114,Weber St.,BSky,7-4,+4.75,106.1,101.4,64.0,-.059,+3.64,104.4,100.8,+3.64
114,115,Seattle,WAC,7-5,+4.58,104.7,100.1,68.9,-.129,-2.56,101.4,104.0,-2.37
115,116,Santa Clara,WCC,9-5,+4.52,108.6,104.1,71.3,+.048,+3.38,105.7,102.4,+3.38
116,117,Wichita St.,Amer,8-4,+4.47,104.5,100.0,70.9,+.035,+0.81,105.6,104.8,+0.81
117,118,Arizona St.,P12,6-5,+4.28,101.1,96.8,71.6,+.117,+5.77,105.7,99.9,+5.77
118,119,Davidson,A10,9-3,+4.24,107.9,103.7,65.7,+.117,-0.44,103.1,103.5,-0.44
119,120,Vermont,AE,9-5,+4.14,107.8,103.6,65.2,+.021,+1.47,105.6,104.2,+1.47
120,121,Cornell,Ivy,9-2,+4.11,111.5,107.4,74.3,+.069,-3.27,100.0,103.2,-3.27
121,122,Charleston,CAA,8-4,+3.98,107.0,103.0,73.0,+.122,+1.05,106.3,105.3,+1.05
122,123,Charlotte,Amer,6-5,+3.88,103.8,99.9,65.0,-.046,+2.76,105.8,103.1,+2.76
123,124,Long Beach St.,BW,8-4,+3.76,106.8,103.0,73.6,+.098,+3.39,105.9,102.6,+3.39
124,125,Bradley,MVC,7-5,+3.63,104.4,100.7,67.8,+.028,+1.64,106.6,104.9,+1.00
125,126,Loyola Marymount,WCC,7-6,+3.47,105.8,102.3,68.1,-.087,-1.47,103.8,105.2,-1.47
126,127,Drexel,CAA,7-6,+3.38,102.5,99.1,64.8,-.069,-0.08,104.2,104.3,-0.08
127,128,Hawaii,BW,8-4,+3.21,103.6,100.4,67.9,-.045,-4.09,101.9,106.0,-4.09
128,129,West Virginia,B12,5-7,+3.13,104.6,101.4,68.3,-.040,+1.88,104.4,102.5,+1.88
129,130,Louisiana,SB,7-5,+3.11,108.7,105.6,67.4,-.047,+2.49,107.0,104.5,+2.49
130,131,Montana,BSky,7-4,+2.86,107.4,104.6,67.6,+.049,+6.28,107.2,100.9,+6.28
